"#";"RefDes";"Name";"Value"
"1";"C1";"CAP_0805";"1uF"
"2";"C2";"CAP_0805";"1uF"
"3";"C3";"CAP_0805";"10nF"
"4";"C4";"CAP_0805";"10nF"
"5";"C5";"CAP_0805";"0.1uF"
"6";"C6";"CAP_SIZE_A";"2,2uF"
"7";"C7";"CAP_SIZE_A";"2,2uF"
"8";"C8";"CAP_0805";"0,01uF"
"9";"C9";"CAP_0805";"0.1uF"
"10";"C10";"CAP_0805";"2200pF"
"11";"C11";"CAP_0805";"27p"
"12";"C12";"CAP_0805";"27p"
"13";"Q1";"IRLML2402";""
"14";"Q2";"MMBT2222ALT1";""
"15";"R1";"RES_0805";"2,7k"
"16";"R2";"RES_0805";"2,7k"
"17";"R3";"RES_0805";"2,7k"
"18";"R4";"RES_0805";"2,7k"
"19";"R5";"RES_0805";"200k"
"20";"R6";"RES_0805";"10k"
"21";"R7";"RES_0805";"10k"
"22";"R8";"RES_0805";"10k"
"23";"R9";"RES_0805";"1k"
"24";"R10";"RES_0805";"10k"
"25";"R11";"RES_0805";"24k"
"26";"SA1";"DM2";""
"27";"U1";"ATMEGA328_TQFP32";""
"28";"U2";"LP2985";""
"29";"U3";"LP2985";""
"30";"U4";"PCA9306DCTR";""
"31";"U5";"SWT39";""
"32";"U6";"MPU6050";""
"33";"U7";"PVZ3A RES ADJ";""
"34";"XS1";"PBS_6";""
"35";"XS2";"PBS_2";""
"36";"XS3";"PBS_3";""
"37";"XS4";"PBS_2";""
"38";"Y2";"KX-7";""
